Val	Epoch	Time	Loss_train	AUC_dev	PRC_dev	AUC_test	PRC_test
0	1	53.64461816	0.6317912	0.74430454	0.740599804	0.76549196	0.783463064
0	2	107.0148193	0.5765076	0.768906256	0.780169812	0.777852306	0.802030624
0	3	160.0643118	0.5516033	0.798791698	0.814589735	0.809721005	0.833487309
0	4	213.2682375	0.529527	0.804606096	0.819603742	0.815265646	0.839825716
0	5	266.2089694	0.5219402	0.808492257	0.823071779	0.819320002	0.842672868
0	6	319.7443122	0.49814677	0.809261177	0.823987617	0.824958563	0.847714812
0	7	372.914173	0.4858616	0.806689452	0.820617327	0.827700161	0.84939605
0	8	426.603911	0.45722812	0.810492487	0.824679868	0.828609151	0.852713687
0	9	480.5899149	0.43504998	0.804966063	0.817298248	0.82768107	0.850101612
0	10	533.8129958	0.39782137	0.79551711	0.808906035	0.82531932	0.846836847
0	11	586.6589676	0.36069134	0.791554873	0.80190312	0.82602511	0.844491213
0	12	639.5089244	0.33374375	0.797614939	0.810094183	0.831591548	0.853250238
0	13	693.3634697	0.313378	0.794965655	0.807534122	0.833031068	0.85272023
0	14	746.5804366	0.29699683	0.796803714	0.809717232	0.83761932	0.857306534
0	15	799.3514854	0.28605494	0.794655415	0.808049299	0.835022844	0.854824245
0	16	853.0557014	0.27562058	0.794898114	0.808906175	0.837185928	0.85609106
0	17	906.9199983	0.2689377	0.794265389	0.808341889	0.836660883	0.855478964
0	18	960.7512346	0.26354352	0.793384026	0.806120592	0.836400043	0.854759711
0	19	1013.950319	0.26010656	0.791746732	0.806022186	0.836091512	0.854907261
0	20	1066.788495	0.25910226	0.793491645	0.808353108	0.837574481	0.855458685
0	21	1119.218167	0.2582053	0.79382749	0.806805624	0.83563186	0.853856306
0	22	1172.096473	0.2588336	0.792713076	0.807183732	0.836384902	0.855292527
0	23	1225.336024	0.25565702	0.789762088	0.803385911	0.836054939	0.854693772
0	24	1278.753576	0.2561997	0.793441917	0.807894207	0.834918537	0.853530977
0	25	1332.158774	0.2562868	0.794601605	0.808741593	0.835748456	0.853709071
0	26	1385.785428	0.25646964	0.791747103	0.806095537	0.836230124	0.854942999
0	27	1439.578577	0.25501627	0.791285454	0.804041682	0.836040456	0.854813691
0	28	1493.440139	0.25639954	0.791351139	0.805628395	0.837038538	0.855986531
1	1	53.20009734	0.62791145	0.737255379	0.742178307	0.768837529	0.787045097
1	2	106.7419575	0.57705086	0.776359049	0.790999648	0.798475118	0.817105915
1	3	160.0566096	0.54671896	0.792522958	0.8106388	0.815563205	0.835310158
1	4	213.8481232	0.52561975	0.801124162	0.822875949	0.821440442	0.841655898
1	5	267.2707799	0.511966	0.805531657	0.824225724	0.821705305	0.841291429
1	6	320.9926765	0.49838942	0.806853349	0.828628005	0.824938082	0.844910961
1	7	374.772852	0.48238388	0.801622998	0.822614832	0.821425593	0.842325473
1	8	428.5964825	0.4593645	0.806421322	0.832611301	0.831851291	0.854762076
1	9	482.5350906	0.43018436	0.811457187	0.834465382	0.834838003	0.855814291
1	10	536.3251195	0.41331792	0.806381979	0.82779655	0.830602243	0.850698582
1	11	586.8296899	0.3871349	0.803852169	0.827326698	0.840771636	0.857279842
1	12	640.6474296	0.3441795	0.807133944	0.828608906	0.844669751	0.859910096
1	13	694.4805397	0.31140372	0.804325766	0.826709865	0.84282895	0.856600902
1	14	748.3371509	0.28145796	0.802247284	0.823785262	0.845173803	0.855986396
1	15	802.6226511	0.2607991	0.80164638	0.821158237	0.840426604	0.850882673
1	16	856.61484	0.24764542	0.79900077	0.819037498	0.840664915	0.849088261
1	17	910.5558361	0.23897219	0.79797786	0.818409359	0.843273899	0.851725211
1	18	964.2129631	0.23586437	0.800859898	0.819733859	0.840099274	0.848756308
1	19	1018.017836	0.23434812	0.796354417	0.81626476	0.841246648	0.850721595
1	20	1070.690207	0.23318967	0.797715823	0.816881942	0.842231198	0.850914865
1	21	1124.694075	0.23051515	0.795215706	0.816013144	0.840918221	0.849460789
1	22	1178.428896	0.23079447	0.795851498	0.816849182	0.840847196	0.850989935
1	23	1230.368968	0.23112802	0.795234635	0.815312533	0.841479327	0.850226166
1	24	1283.599119	0.230506	0.798557237	0.815692525	0.840105419	0.8502307
1	25	1337.425867	0.22865513	0.795108441	0.813984723	0.841799049	0.851818295
1	26	1391.265009	0.23075996	0.795888614	0.815208654	0.840692638	0.84951894
1	27	1444.732091	0.22988787	0.79466231	0.813725522	0.841539819	0.848930374
1	28	1497.688889	0.2281286	0.797141642	0.816963866	0.841991497	0.851086569
1	29	1551.987765	0.22876571	0.796766402	0.816040241	0.841850764	0.850155592
1	30	1605.17027	0.22914542	0.79597695	0.814667538	0.842018562	0.851119814
1	31	1658.447681	0.23030142	0.798391329	0.816217204	0.841122446	0.85104291
1	32	1712.184526	0.23013417	0.797804529	0.817510443	0.840877552	0.849958811
